====================================================================================================
Transformer Cross-Attention 分析报告
====================================================================================================

【关键点难度排序】
----------------------------------------------------------------------------------------------------
left_shoulder        Entropy=0.8075  Confidence=0.8517
right_shoulder       Entropy=0.8135  Confidence=0.8630
nose                 Entropy=0.8146  Confidence=0.7936
left_hip             Entropy=0.8222  Confidence=0.7817
right_hip            Entropy=0.8264  Confidence=0.7839
left_eye             Entropy=0.8269  Confidence=0.6875
right_eye            Entropy=0.8280  Confidence=0.6909
left_elbow           Entropy=0.8295  Confidence=0.7111
left_knee            Entropy=0.8321  Confidence=0.7242
right_elbow          Entropy=0.8335  Confidence=0.7124
right_knee           Entropy=0.8356  Confidence=0.7076
left_ankle           Entropy=0.8375  Confidence=0.6604
left_wrist           Entropy=0.8376  Confidence=0.6864
right_ankle          Entropy=0.8378  Confidence=0.6510
left_ear             Entropy=0.8392  Confidence=0.5710
right_wrist          Entropy=0.8422  Confidence=0.6892
right_ear            Entropy=0.8461  Confidence=0.5494
